course_id,teacher_id,question_no,no_participants,resp_share,SET_score_avg,stud_grade_avg,stud_grade_std,stud_grade_var_coef,percent_failed,stud_grade_avg_cur,stud_grade_std_cur,stud_grade_var_coef_cur,percent_failed_cur,class_duration,weekday,time_of_day,SET_score_1sem,maximum_score,academic_degree,seniority,gender
0000-BHP,54655,901,255,0.21176470588235297,4.222222222222222,3,0,0,0,3,0,0,0,0,Friday,<10,3.82,0,no_dgr,4,male
0000-BHP,54655,903,255,0.20784313725490197,3.679245283018868,3,0,0,0,3,0,0,0,0,Friday,<10,3.82,0,no_dgr,4,male
0000-BHP,54655,904,255,0.21176470588235297,3.740740740740741,3,0,0,0,3,0,0,0,0,Friday,<10,3.82,0,no_dgr,4,male
0000-BHP,54655,905,255,0.20784313725490197,3.30188679245283,3,0,0,0,3,0,0,0,0,Friday,<10,3.82,0,no_dgr,4,male
0000-BHP,54655,907,255,0.20784313725490197,3.679245283018868,3,0,0,0,3,0,0,0,0,Friday,<10,3.82,0,no_dgr,4,male
0000-BW-NP,3432,902,998,0.04108216432865731,4.048780487804878,3.49557358908152,0.9747640234956724,0.2788566736344397,0.07229804500184434,3.49557358908152,0.9747640234956724,0.2788566736344397,0.07229804500184434,0,Friday,14-18,4.072,0,ma,11,male
0000-BW-NP,3432,903,998,0.04208416833667335,3.952380952380953,3.49557358908152,0.9747640234956724,0.2788566736344397,0.07229804500184434,3.49557358908152,0.9747640234956724,0.2788566736344397,0.07229804500184434,0,Friday,14-18,4.072,0,ma,11,male
0000-BW-NP,3432,906,998,0.04108216432865731,4.146341463414634,3.49557358908152,0.9747640234956724,0.2788566736344397,0.07229804500184434,3.49557358908152,0.9747640234956724,0.2788566736344397,0.07229804500184434,0,Friday,14-18,4.072,0,ma,11,male
0000-BW-NP,3432,909,998,0.04108216432865731,4.073170731707317,3.49557358908152,0.9747640234956724,0.2788566736344397,0.07229804500184434,3.49557358908152,0.9747640234956724,0.2788566736344397,0.07229804500184434,0,Friday,14-18,4.072,0,ma,11,male
0000-BW-NP,3773,901,1003,0.05383848454636091,4.055555555555555,3.49557358908152,0.9747640234956724,0.2788566736344397,0.07229804500184434,3.49557358908152,0.9747640234956724,0.2788566736344397,0.07229804500184434,0,Friday,14-18,4.485,0,ma,11,male
